,Date,Open,High,Low,Close,Volume,Turnover
0,2020-01-01,12202.15,12222.2,12165.3,12182.5,304078039,104456800000.0
1,2020-01-02,12198.55,12289.9,12195.25,12282.2,407697594,152565500000.0
2,2020-01-03,12261.1,12265.6,12191.35,12226.65,428770054,168272700000.0
3,2020-01-06,12170.6,12179.1,11974.2,11993.05,396501419,168692200000.0
4,2020-01-07,12079.1,12152.15,12005.35,12052.95,447818617,177976800000.0
5,2020-01-08,11939.1,12044.95,11929.6,12025.35,445991640,182811500000.0
6,2020-01-09,12153.15,12224.05,12132.55,12215.9,477469878,184566400000.0
7,2020-01-10,12271.0,12311.2,12213.2,12256.8,660627930,188186200000.0
8,2020-01-13,12296.7,12337.75,12285.8,12329.55,500968242,175221300000.0
9,2020-01-14,12333.1,12374.25,12308.7,12362.3,616260555,179489199999.99997
10,2020-01-15,12349.4,12355.15,12278.75,12343.3,684352965,178825099999.99997
11,2020-01-16,12347.1,12389.05,12315.8,12355.5,395670245,160040600000.0
12,2020-01-17,12328.4,12385.45,12321.4,12352.35,502060615,213976300000.0
13,2020-01-20,12430.5,12430.5,12216.9,12224.55,491609317,214154300000.0
14,2020-01-21,12195.3,12230.05,12162.3,12169.85,443976442,186826500000.0
15,2020-01-22,12218.35,12225.05,12087.9,12106.9,526294513,197586800000.0
16,2020-01-23,12123.75,12189.0,12094.1,12180.35,867653663,238293900000.0
17,2020-01-24,12174.55,12272.15,12149.65,12248.25,593237908,180322700000.0
18,2020-01-27,12197.1,12216.6,12107.0,12119.0,441158138,179886100000.0
19,2020-01-28,12148.1,12163.55,12024.5,12055.8,478484057,209176200000.0
20,2020-01-29,12114.9,12169.6,12103.8,12129.5,514362340,206461800000.0
21,2020-01-30,12147.75,12150.3,12010.6,12035.8,538138743,193726699999.99997
22,2020-01-31,12100.4,12103.55,11945.85,11962.1,771278258,260449100000.0
23,2020-02-01,11939.0,12017.35,11633.3,11661.85,537634767,205981200000.0
24,2020-02-03,11627.45,11749.85,11614.5,11707.9,669815788,254152599999.99997
25,2020-02-04,11786.25,11986.15,11783.4,11979.65,560430291,223385000000.0
26,2020-02-05,12005.85,12098.15,11953.35,12089.15,758032580,229980500000.0
27,2020-02-06,12120.0,12160.6,12084.65,12137.95,565116236,217359199999.99997
28,2020-02-07,12151.15,12154.7,12073.95,12098.35,473475144,163396100000.0
29,2020-02-10,12102.35,12103.55,11990.75,12031.5,525674715,171851400000.0
30,2020-02-11,12108.4,12172.3,12099.0,12107.9,480491557,162095200000.0
31,2020-02-12,12151.0,12231.75,12144.3,12201.2,412399174,165983300000.00003
32,2020-02-13,12219.55,12225.65,12139.8,12174.65,501510138,163152700000.0
33,2020-02-14,12190.15,12246.7,12091.2,12113.45,623053270,207595099999.99997
34,2020-02-17,12131.8,12159.6,12037.0,12045.8,455412408,154395500000.0
35,2020-02-18,12028.25,12030.75,11908.05,11992.5,677307424,188530000000.0
36,2020-02-19,12090.6,12134.7,12042.1,12125.9,514030605,176108900000.0
37,2020-02-20,12119.0,12152.0,12071.45,12080.85,502875583,188315099999.99997
38,2020-02-24,12012.55,12012.55,11813.4,11829.4,491224913,194210400000.0
39,2020-02-25,11877.5,11883.05,11779.9,11797.9,461349973,185108200000.0
40,2020-02-26,11738.55,11783.25,11639.6,11678.5,567990976,218870700000.0
41,2020-02-27,11661.25,11663.85,11536.7,11633.3,609266324,216234700000.0
42,2020-02-28,11382.0,11384.8,11175.05,11201.75,810523106,322971500000.0
43,2020-03-02,11387.35,11433.0,11036.25,11132.75,681148567,242045500000.0
44,2020-03-03,11217.55,11342.25,11152.55,11303.3,696919348,232812000000.0
45,2020-03-04,11351.35,11356.6,11082.15,11251.0,798021596,269284600000.0
46,2020-03-05,11306.05,11389.5,11244.6,11269.0,1353209029,269806500000.0
47,2020-03-06,10942.65,11035.1,10827.4,10989.45,1811564187,264552900000.0
48,2020-03-09,10742.05,10751.55,10294.45,10451.45,1566119057,351517900000.0
49,2020-03-11,10334.3,10545.1,10334.0,10458.4,1219079693,325484700000.0
50,2020-03-12,10039.95,10040.75,9508.0,9590.15,1344263317,392839700000.0
51,2020-03-13,9107.6,10159.4,8555.15,9955.2,1389061775,441678900000.0
52,2020-03-16,9587.8,9602.2,9165.1,9197.4,898523271,291818000000.0
53,2020-03-17,9285.4,9403.8,8915.6,8967.05,936185892,280041600000.0
54,2020-03-18,9088.45,9127.55,8407.05,8468.8,1517275761,392567100000.0
55,2020-03-19,8063.3,8575.45,7832.55,8263.45,926508824,342742300000.00006
56,2020-03-20,8284.45,8883.0,8178.2,8745.45,1072263600,373212500000.0
57,2020-03-23,7945.7,8159.25,7583.6,7610.25,654151814,238919000000.0
58,2020-03-24,7848.3,8036.95,7511.1,7801.05,739354439,282820900000.0
59,2020-03-25,7735.15,8376.75,7714.75,8317.85,738114713,284820100000.0
60,2020-03-26,8451.0,8749.05,8304.9,8641.45,866534643,322283100000.0
61,2020-03-27,8949.1,9038.9,8522.9,8660.25,801923401,313368600000.0
62,2020-03-30,8385.95,8576.0,8244.0,8281.1,593953051,247244400000.0
63,2020-03-31,8529.35,8678.3,8358.0,8597.75,713390935,274013000000.0
64,2020-04-01,8584.1,8588.1,8198.35,8253.8,507509685,213073000000.0
65,2020-04-03,8356.55,8356.55,8055.8,8083.8,697752438,265611800000.0
